Id,Year,Age,School,Height,Weight,Sprint_40yd,Vertical_Jump,Bench_Press_Reps,Broad_Jump,Agility_3cone,Shuttle,Player_Type,Position_Type,Position,Drafted
34,2009,22.0,Oregon,1.778,93.89362059,4.68,,,,,,defense,defensive_back,CB,1
35,2015,21.0,Towson,1.8288,88.45051215,4.6,92.71,15.0,314.96,6.97,3.96,defense,defensive_back,CB,1
36,2014,22.0,LSU,1.905,142.8815966,4.98,,24.0,,,,defense,defensive_lineman,DT,1
37,2009,22.0,Hawaii,1.7526,84.82177319,4.47,100.33,18.0,327.66,,,defense,defensive_back,CB,1
38,2011,22.0,Montana St.,1.9304,135.6241186,5.07,71.12,21.0,274.32,7.44,4.5,offense,offensive_lineman,OG,1
39,2016,22.0,Ohio St.,1.905,95.70799007,4.46,87.63,15.0,304.8,7.03,4.25,defense,defensive_back,SS,0
40,2017,22.0,Memphis,1.7526,75.74992579,4.79,,,,,,special_teams,kicking_specialist,K,1
41,2019,,Utah St.,1.9558,115.6660544,4.73,81.28,15.0,276.86,7.15,4.39,offense,backs_receivers,TE,0
42,2017,21.0,North Carolina A&T,1.6764,81.19303423,4.42,80.01,11.0,299.72,,,offense,backs_receivers,RB,1
43,2015,23.0,Georgia,1.8542,110.6765383,4.83,81.28,23.0,281.94,7.35,4.27,defense,line_backer,ILB,1
44,2014,22.0,Notre Dame,1.8288,88.45051215,4.51,96.52,13.0,325.12,6.75,4.0,defense,defensive_back,CB,1
45,2018,21.0,Pittsburgh,1.7272,87.08973504,4.5,82.55,12.0,304.8,6.89,4.28,offense,backs_receivers,WR,0
46,2018,22.0,Oregon,1.9558,140.1600423,5.23,76.2,17.0,266.7,7.89,4.77,offense,offensive_lineman,OT,1
47,2012,,McNeese St.,1.8034,85.27536556,4.6,92.71,9.0,317.5,6.9,4.15,defense,defensive_back,FS,0
48,2013,22.0,South Florida,1.778,88.45051215,4.41,88.9,14.0,317.5,,,defense,defensive_back,CB,1
49,2015,22.0,Stanford,1.8034,95.70799007,4.65,81.28,13.0,281.94,6.74,4.22,defense,defensive_back,SS,1
50,2014,23.0,Minnesota,1.9812,140.6136347,4.92,90.17,32.0,289.56,7.87,4.5,defense,defensive_lineman,DT,1
51,2012,,Appalachian St.,1.778,83.91458845,4.53,81.28,8.0,289.56,7.19,4.28,defense,defensive_back,CB,0
52,2019,22.0,Washington,1.8542,84.36818082,4.49,93.98,6.0,317.5,,,defense,defensive_back,CB,1
53,2009,21.0,Florida,1.8796,92.07925111,4.32,,12.0,,,,offense,backs_receivers,WR,1
54,2019,,Miami (FL),1.778,86.63614267,4.69,83.82,18.0,307.34,,,defense,defensive_back,S,0
55,2016,24.0,Florida,1.9558,113.3980925,4.83,,17.0,,,,offense,backs_receivers,TE,0
56,2016,22.0,Texas-San Antonio,1.9304,118.8412009,,,,,,,offense,backs_receivers,TE,1
57,2014,22.0,Vanderbilt,1.9304,93.44002822,4.73,,12.0,,,,offense,backs_receivers,WR,0
58,2009,22.0,Tennessee,1.8542,102.5118756,4.69,,23.0,,,,offense,backs_receivers,RB,0
59,2013,23.0,Mississippi St.,1.8796,83.91458845,4.61,86.36,10.0,317.5,6.97,4.27,defense,defensive_back,CB,1
60,2013,23.0,Notre Dame,1.8288,88.45051215,4.57,,,,,,defense,defensive_back,SS,1
61,2016,,Colorado St.,1.8542,85.27536556,4.55,104.14,,317.5,6.93,3.94,defense,defensive_back,CB,0
62,2009,22.0,Southern Miss,1.8796,104.7798375,4.49,86.36,19.0,312.42,7.24,4.35,defense,line_backer,ILB,1
63,2015,22.0,Central Florida,1.8288,89.81128926,4.6,104.14,16.0,335.28,6.86,4.15,offense,backs_receivers,WR,0
64,2011,22.0,Temple,1.8542,110.2229459,4.8,,,,,,defense,line_backer,ILB,0
65,2015,22.0,Mississippi St.,1.7272,98.42954429,4.7,81.28,21.0,287.02,,,offense,backs_receivers,RB,1
66,2013,22.0,Missouri,1.8034,92.53284348,4.74,91.44,26.0,304.8,6.53,3.96,offense,backs_receivers,WR,0
67,2018,,Western Michigan,1.905,109.3157612,4.78,78.74,15.0,289.56,7.09,4.34,offense,backs_receivers,RB,0
68,2017,21.0,Florida St.,1.8288,85.72895793,4.65,80.01,12.0,289.56,6.93,4.46,offense,backs_receivers,WR,0
69,2013,23.0,Wisconsin,1.9812,139.70645,5.17,80.01,20.0,256.54,7.94,4.91,offense,offensive_lineman,OT,1
70,2014,,Kansas,1.9304,106.594207,4.69,82.55,,,,,offense,backs_receivers,TE,0
71,2011,22.0,Oklahoma St.,1.9558,119.7483857,4.63,71.12,22.0,297.18,7.07,4.39,defense,defensive_lineman,DE,0
72,2012,21.0,Central Florida,1.778,90.26488163,4.29,97.79,17.0,337.82,6.55,3.97,defense,defensive_back,CB,1
73,2013,22.0,California,1.7272,101.6046909,4.6,81.28,17.0,302.26,7.15,4.12,offense,backs_receivers,RB,0
74,2016,23.0,Michigan,1.9812,139.2528576,5.13,63.5,23.0,269.24,7.63,4.63,offense,offensive_lineman,C,1
75,2011,23.0,Idaho,1.9304,108.8621688,5.12,64.77,,259.08,7.13,4.46,offense,backs_receivers,QB,1
76,2015,20.0,Clemson,1.9558,103.8726527,5.18,,,,,,special_teams,kicking_specialist,P,1
77,2016,22.0,UCLA,1.8542,93.89362059,4.47,87.63,,307.34,7.08,4.33,offense,backs_receivers,WR,1
78,2017,23.0,Florida,1.8288,95.2543977,,,,,,,defense,defensive_back,FS,1
79,2010,21.0,East Carolina,1.9304,148.7782974,5.09,76.2,39.0,254.0,8.12,4.71,defense,defensive_lineman,DT,1
80,2019,,Alabama St.,1.9558,146.0567431,5.05,74.93,21.0,261.62,8.34,4.87,offense,offensive_lineman,OT,0
81,2017,23.0,East. Washington,1.8796,92.53284348,4.62,78.74,,294.64,6.75,4.08,offense,backs_receivers,WR,1
82,2015,21.0,LSU,1.8542,92.07925111,4.48,91.44,,314.96,6.77,4.27,defense,defensive_back,CB,1
83,2017,21.0,North Carolina St.,1.8288,91.62565874,4.54,88.9,21.0,317.5,,,defense,defensive_back,CB,1
84,2017,22.0,Mississippi St.,1.9558,150.1390745,5.55,58.42,,248.92,8.19,5.06,offense,offensive_lineman,OT,1
85,2011,23.0,Boston Col.,1.9304,110.6765383,4.91,82.55,29.0,284.48,7.32,4.46,defense,line_backer,OLB,0
86,2011,,Michigan St.,1.9304,114.3052772,4.85,77.47,27.0,284.48,7.15,4.4,offense,backs_receivers,TE,0
87,2019,23.0,Texas St.,1.8796,113.3980925,4.75,83.82,17.0,297.18,7.27,4.51,offense,backs_receivers,TE,0
88,2014,22.0,Oklahoma,1.8796,112.0373154,4.64,,,,,,offense,backs_receivers,FB,1
89,2017,23.0,Michigan,1.905,136.9848957,5.13,69.85,20.0,266.7,7.55,4.5,defense,defensive_lineman,DT,1
90,2015,23.0,Miami (FL),1.9304,113.8516849,4.79,88.9,20.0,304.8,7.32,4.57,offense,backs_receivers,TE,1
91,2016,21.0,Georgia,1.905,117.4804238,4.8,92.71,16.0,307.34,,,defense,line_backer,OLB,1
92,2013,22.0,Duke,1.905,99.33672903,4.76,,,,,,offense,backs_receivers,QB,1
93,2016,21.0,Mississippi,1.905,133.3561568,4.87,88.9,28.0,294.64,,,defense,defensive_lineman,DT,1
94,2013,22.0,Syracuse,1.7526,96.61517481,4.42,102.87,28.0,337.82,,4.26,defense,defensive_back,SS,1
95,2016,,Maryland,1.8288,84.36818082,4.88,,,,,,special_teams,kicking_specialist,K,0
96,2018,21.0,Texas Tech,1.778,82.10021897,4.43,87.63,14.0,287.02,6.93,4.15,offense,backs_receivers,WR,1
97,2011,,USC,1.9304,137.8920805,5.12,82.55,31.0,266.7,7.67,4.59,offense,offensive_lineman,C,0
98,2010,23.0,North Carolina,1.9304,149.6854821,5.16,73.66,31.0,259.08,7.68,4.78,defense,defensive_lineman,DT,1
99,2010,,Indiana,1.905,121.5627552,4.96,96.52,,294.64,7.65,4.69,defense,defensive_lineman,DE,0
100,2017,23.0,Kentucky,1.9558,139.2528576,5.51,64.77,21.0,254.0,8.09,4.84,offense,offensive_lineman,C,0
101,2014,22.0,Michigan,2.0066,140.1600423,4.87,77.47,29.0,297.18,7.39,4.49,offense,offensive_lineman,OT,1
102,2011,23.0,West Virginia,1.8796,144.695966,5.06,73.66,30.0,269.24,7.56,4.46,defense,defensive_lineman,DT,1
103,2014,20.0,North Carolina,1.8034,90.718474,4.45,,16.0,,7.04,4.3,defense,defensive_back,CB,1
104,2012,22.0,Notre Dame,1.8542,94.34721296,4.66,86.36,12.0,294.64,6.71,3.97,defense,defensive_back,CB,1
105,2009,21.0,Oklahoma,1.8542,95.2543977,4.44,87.63,,294.64,,4.4,offense,backs_receivers,WR,1
106,2013,22.0,Rutgers,1.8542,108.8621688,4.84,83.82,19.0,299.72,6.99,4.2,defense,line_backer,ILB,1
107,2018,,South Carolina,1.8542,84.36818082,4.7,,,,,,defense,defensive_back,CB,0
108,2011,21.0,Miami (FL),1.905,129.2738255,4.71,92.71,27.0,297.18,7.43,4.56,defense,defensive_lineman,DE,1
109,2015,20.0,LSU,1.8542,102.965468,4.55,91.44,24.0,307.34,7.14,4.2,defense,line_backer,OLB,1
110,2017,22.0,West. Michigan,1.905,94.80080533,,,,,,,offense,backs_receivers,WR,1
111,2009,22.0,USC,1.905,108.8621688,4.58,90.17,23.0,307.34,6.9,4.18,defense,line_backer,OLB,1
112,2009,24.0,Oklahoma St.,1.9558,119.2947933,4.8,83.82,22.0,299.72,7.12,4.37,offense,backs_receivers,TE,1
113,2016,23.0,Mississippi,1.8542,106.1406146,4.81,,,,,4.52,defense,line_backer,ILB,0
114,2014,,Texas,1.8542,95.70799007,4.85,,,,,,special_teams,kicking_specialist,K,0
115,2018,,Nebraska,1.778,94.34721296,,,,,,,special_teams,kicking_specialist,K,0
116,2010,23.0,San Jose St.,1.8034,85.27536556,4.45,,14.0,,,,offense,backs_receivers,WR,0
117,2016,22.0,North Carolina Central,1.8034,85.72895793,4.47,91.44,18.0,309.88,6.88,4.09,defense,defensive_back,CB,1
118,2018,23.0,Memphis,1.905,96.16158244,4.98,73.66,,279.4,6.96,4.4,offense,backs_receivers,QB,0
119,2013,23.0,Auburn,1.778,76.20351816,4.34,86.36,,307.34,,,offense,backs_receivers,RB,0
120,2009,,New Mexico St.,1.9304,109.7693535,5.12,68.58,,274.32,7.93,4.65,offense,backs_receivers,QB,0
121,2015,21.0,Baylor,1.9304,102.965468,5.06,,,,,,special_teams,kicking_specialist,P,0
122,2016,22.0,William & Mary,1.8542,91.17206637,4.54,82.55,13.0,292.1,7.15,4.28,defense,defensive_back,FS,1
123,2011,23.0,Wisconsin,1.8288,104.3262451,4.83,73.66,,281.94,,,offense,backs_receivers,RB,0
124,2009,,Baylor,1.9304,139.70645,5.48,57.15,18.0,218.44,8.67,5.42,offense,offensive_lineman,OG,0
125,2014,23.0,Oregon,1.8796,102.0582833,4.66,,,309.88,7.15,4.3,defense,line_backer,OLB,0
126,2015,22.0,Kansas St.,1.778,82.55381134,4.4,90.17,,307.34,6.89,4.07,offense,backs_receivers,WR,1
127,2019,22.0,USC,1.8796,89.81128926,,106.68,,345.44,6.63,4.01,defense,defensive_back,S,1
128,2017,22.0,Louisiana,1.778,97.06876718,4.53,91.44,15.0,304.8,7.26,4.56,offense,backs_receivers,RB,1
129,2014,23.0,Concordia (MN),1.9558,122.0163475,4.84,85.09,23.0,312.42,7.41,4.46,defense,defensive_lineman,DE,1
130,2011,21.0,Georgia,1.9558,139.70645,5.28,78.74,28.0,259.08,7.66,4.64,offense,offensive_lineman,OG,1
131,2018,,Indiana,1.778,79.37866475,,,,,,,defense,defensive_back,CB,0
132,2009,,Central Arkansas,1.8542,99.33672903,4.86,77.47,,269.24,7.43,4.44,offense,backs_receivers,QB,0
133,2013,22.0,James Madison,1.905,136.077711,5.06,76.2,24.0,271.78,7.77,5.0,offense,offensive_lineman,OG,1
134,2009,21.0,Florida St.,1.8542,116.1196467,4.65,80.01,26.0,289.56,7.55,4.53,defense,defensive_lineman,DE,1
135,2010,23.0,Stanford,1.9812,136.077711,5.14,,,,,,offense,offensive_lineman,OT,0
136,2014,22.0,Mississippi St.,1.905,152.4070363,5.34,73.66,30.0,274.32,8.25,4.78,offense,offensive_lineman,OG,1
137,2018,,Arizona State,1.7526,98.88313666,4.7,74.93,12.0,292.1,,,offense,backs_receivers,RB,0
138,2011,20.0,Virginia Tech,1.7526,96.16158244,4.59,101.6,19.0,312.42,6.96,4.18,offense,backs_receivers,RB,1
139,2011,26.0,Oregon,1.9812,125.1914941,4.92,71.12,26.0,289.56,7.07,4.37,defense,defensive_lineman,DE,0
140,2014,21.0,Houston,1.905,95.70799007,5.1,,,,,,special_teams,kicking_specialist,P,0
141,2014,22.0,Miami (FL),1.9812,141.0672271,5.35,67.31,30.0,254.0,,,offense,offensive_lineman,OG,1
142,2011,20.0,USC,1.9558,139.2528576,4.93,,29.0,,,,offense,offensive_lineman,OT,1
143,2015,,Kansas St.,1.9304,144.2423737,5.25,60.96,20.0,251.46,,4.76,offense,offensive_lineman,C,0
144,2019,,Wyoming,1.8288,94.80080533,4.56,92.71,9.0,307.34,7.08,4.2,defense,defensive_back,S,0
145,2017,,William & Mary,2.0066,145.6031508,5.61,66.04,18.0,261.62,8.35,5.17,offense,offensive_lineman,OT,0
146,2015,22.0,Georgia,1.8288,85.72895793,4.5,83.82,,299.72,,,defense,defensive_back,CB,1
147,2014,22.0,Purdue,1.7526,84.82177319,4.61,90.17,13.0,297.18,,4.15,defense,defensive_back,CB,1
148,2017,23.0,Utah,1.905,97.52235955,4.48,87.63,15.0,297.18,6.64,4.34,defense,defensive_back,CB,1
149,2009,23.0,Michigan,1.8542,87.54332741,4.5,96.52,23.0,322.58,7.05,4.01,defense,defensive_back,CB,1
150,2015,23.0,Oregon St.,1.9558,111.583723,4.72,91.44,22.0,307.34,7.28,4.28,defense,defensive_lineman,DE,1
151,2012,22.0,Georgia,1.9812,156.4893677,5.08,59.69,31.0,236.22,8.13,5.0,offense,offensive_lineman,OT,1
152,2019,,Wake Forest,1.7018,78.47148001,,,,,,,offense,backs_receivers,WR,0
153,2015,21.0,Washington,1.8796,153.7678134,5.64,77.47,34.0,241.3,7.99,4.65,defense,defensive_lineman,DT,1
154,2010,,USC,1.8542,97.06876718,4.58,,,,,,defense,defensive_back,FS,0
155,2009,23.0,Florida,1.9304,111.1301307,4.68,83.82,21.0,,7.12,4.53,offense,backs_receivers,TE,1
156,2016,23.0,Georgia,1.8288,89.81128926,4.45,91.44,15.0,327.66,6.94,4.34,offense,backs_receivers,WR,1
157,2015,22.0,Kansas,1.8288,104.7798375,4.59,85.09,19.0,304.8,6.68,4.0,defense,line_backer,ILB,1
158,2017,23.0,Baylor,1.905,96.61517481,,,,,,,offense,backs_receivers,QB,0
159,2014,21.0,Fresno St.,1.8542,96.16158244,4.56,100.33,14.0,312.42,6.82,4.3,offense,backs_receivers,WR,1
160,2018,21.0,Indiana,1.8288,104.3262451,4.77,,27.0,,,,defense,line_backer,ILB,0
161,2014,22.0,Florida Atlantic,1.8034,85.72895793,4.43,,22.0,,,,defense,defensive_back,CB,1
162,2011,22.0,Georgia,1.905,122.4699399,4.62,92.71,30.0,317.5,6.95,4.37,defense,line_backer,OLB,1
163,2017,21.0,Temple,1.778,86.1825503,4.62,81.28,11.0,294.64,,,offense,backs_receivers,RB,0
164,2012,21.0,USC,1.905,122.9235323,4.55,97.79,35.0,314.96,7.25,4.66,defense,defensive_lineman,DE,1
165,2011,21.0,Central Michigan,1.8542,111.1301307,4.84,82.55,23.0,276.86,6.98,4.0,defense,line_backer,ILB,0
166,2012,23.0,Marshall,1.905,120.6555704,4.87,81.28,,279.4,6.9,4.4,defense,defensive_lineman,DE,1
167,2016,23.0,Georgia Tech,1.9304,130.1810102,4.88,,,,,,defense,defensive_lineman,DT,1
168,2011,22.0,Nevada,1.7526,96.61517481,4.65,87.63,20.0,284.48,6.89,4.18,offense,backs_receivers,RB,0
169,2012,22.0,Boise St.,1.9304,133.3561568,4.86,68.58,24.0,271.78,7.37,4.44,defense,defensive_lineman,DE,1
170,2016,,Illinois St.,1.7272,93.89362059,4.47,86.36,17.0,284.48,7.26,4.58,offense,backs_receivers,RB,0
171,2009,22.0,Auburn,1.8796,140.1600423,5.4,,22.0,,,,offense,offensive_lineman,OG,1
172,2017,23.0,Pittsburgh,1.9812,137.8920805,5.23,74.93,23.0,243.84,8.02,4.94,offense,offensive_lineman,OT,1
173,2019,23.0,Ohio St.,1.8288,94.34721296,4.35,95.25,18.0,317.5,7.01,4.15,offense,backs_receivers,WR,1
174,2015,23.0,Alabama,1.8034,87.54332741,4.44,87.63,,299.72,6.97,4.18,offense,backs_receivers,WR,0
175,2009,,McNeese St.,1.9558,138.3456729,5.45,,19.0,,,,offense,offensive_lineman,OT,0
176,2012,22.0,Wake Forest,1.9304,112.9445001,4.73,85.09,25.0,297.18,7.11,4.31,defense,line_backer,OLB,1
177,2009,20.0,Missouri,1.8288,89.81128926,4.43,,,,,,offense,backs_receivers,WR,1
178,2016,20.0,Notre Dame,1.9558,120.2019781,4.9,83.82,23.0,304.8,7.38,4.53,defense,defensive_lineman,DE,0
179,2015,,Syracuse,1.905,94.34721296,4.56,78.74,,297.18,7.09,4.26,defense,defensive_back,FS,0
180,2012,22.0,Texas,1.9558,132.9025644,5.0,86.36,28.0,281.94,7.49,4.84,defense,defensive_lineman,DT,1
181,2017,23.0,Michigan,1.8796,97.06876718,4.45,91.44,17.0,314.96,,,offense,backs_receivers,WR,1
182,2011,22.0,Purdue,1.9304,121.1091628,4.67,85.09,31.0,309.88,7.18,4.39,defense,defensive_lineman,DE,1
183,2015,23.0,Clemson,1.9304,127.9130483,4.8,,22.0,,,,defense,defensive_lineman,DE,0
184,2015,22.0,Michigan St.,1.8796,87.08973504,4.61,91.44,10.0,289.56,6.92,4.13,offense,backs_receivers,WR,1
185,2009,22.0,San Jose St.,1.9558,130.6346026,4.81,90.17,28.0,302.26,7.7,4.56,defense,defensive_lineman,DE,1
186,2015,21.0,Arizona St.,1.8796,98.42954429,4.44,106.68,,312.42,,,offense,backs_receivers,WR,1
187,2016,23.0,Grand Valley St.,1.905,124.7379018,4.73,88.9,30.0,276.86,7.67,4.52,defense,defensive_lineman,DE,1
188,2012,23.0,Iowa,1.8796,132.9025644,4.9,80.01,,284.48,7.99,4.65,offense,offensive_lineman,OG,1
189,2015,21.0,Penn St.,1.8288,98.88313666,4.56,90.17,,309.88,7.09,4.03,defense,defensive_back,FS,1
190,2010,23.0,LSU,1.8796,95.70799007,4.58,91.44,,292.1,6.81,4.23,offense,backs_receivers,WR,1
191,2009,,Texas-El Paso,1.7526,89.35769689,4.96,,,,,,special_teams,kicking_specialist,K,0
192,2011,22.0,Alabama,1.905,99.7903214,4.34,97.79,17.0,342.9,6.66,4.25,offense,backs_receivers,WR,1
193,2014,21.0,LSU,1.8034,89.81128926,4.38,97.79,7.0,309.88,6.69,3.94,offense,backs_receivers,WR,1
194,2016,21.0,Florida St.,1.8288,93.89362059,4.96,,,,,,special_teams,kicking_specialist,K,1
195,2015,22.0,Stanford,1.8288,100.2439138,4.55,102.87,,307.34,6.97,4.21,offense,backs_receivers,WR,1
196,2009,21.0,Ohio St.,1.905,94.80080533,4.46,95.25,,,6.72,4.19,offense,backs_receivers,WR,1
197,2016,21.0,West Virginia,1.8288,95.2543977,4.53,,11.0,307.34,,,defense,defensive_back,SS,1
198,2010,22.0,Oklahoma,1.8034,87.99691978,4.46,85.09,10.0,297.18,7.32,4.33,defense,defensive_back,CB,1
199,2017,21.0,UCLA,1.8796,113.3980925,4.59,83.82,24.0,309.88,7.48,4.62,defense,line_backer,OLB,1
200,2009,23.0,Virginia,1.905,116.1196467,4.75,87.63,,302.26,7.37,4.4,defense,line_backer,OLB,1
201,2010,21.0,TCU,1.8796,115.6660544,4.65,87.63,26.0,299.72,6.99,4.15,defense,line_backer,OLB,1
202,2010,25.0,Duke,1.8288,97.52235955,4.84,71.12,,271.78,,,offense,backs_receivers,QB,0
203,2018,20.0,Iowa,1.905,138.7992652,,77.47,21.0,274.32,7.29,4.4,offense,offensive_lineman,C,1
204,2010,22.0,Oregon,1.9304,112.9445001,4.59,86.36,23.0,292.1,7.32,4.59,offense,backs_receivers,TE,1
205,2014,23.0,Vanderbilt,1.9558,134.7169339,5.11,73.66,26.0,281.94,7.4,4.64,offense,offensive_lineman,C,1
206,2015,22.0,Connecticut,1.8542,90.26488163,4.43,113.03,,373.38,6.78,3.94,defense,defensive_back,CB,1
207,2019,,Toledo,1.8542,92.98643585,4.57,97.79,19.0,302.26,6.87,4.03,offense,backs_receivers,WR,0
208,2012,22.0,Ohio,1.8034,87.08973504,4.43,82.55,11.0,,,,offense,backs_receivers,WR,1
209,2009,23.0,Texas Tech,1.8288,89.81128926,4.53,96.52,14.0,302.26,6.8,4.16,defense,defensive_back,FS,1
210,2012,23.0,Texas,1.7526,87.54332741,4.49,,20.0,,,,offense,backs_receivers,RB,0
211,2011,22.0,SMU,1.778,83.46099608,4.35,101.6,17.0,320.04,6.65,4.09,offense,backs_receivers,WR,1
212,2012,22.0,West Virginia,1.8288,110.6765383,4.55,90.17,,297.18,,,defense,line_backer,ILB,1
213,2019,23.0,Baylor,1.9558,102.5118756,,,23.0,,,,offense,backs_receivers,WR,1
214,2013,22.0,Florida,1.8034,94.34721296,4.55,77.47,15.0,302.26,7.12,4.4,offense,backs_receivers,RB,1
215,2009,22.0,New Mexico,1.8034,89.81128926,4.52,87.63,17.0,309.88,7.0,4.44,defense,defensive_back,CB,1
216,2018,22.0,Washington,1.8542,108.8621688,4.72,82.55,19.0,292.1,7.2,4.4,defense,line_backer,ILB,1
217,2010,21.0,Miami (FL),1.905,113.3980925,4.7,,19.0,,,,offense,backs_receivers,TE,1
218,2018,21.0,North Carolina St.,1.9304,122.0163475,4.65,91.44,24.0,307.34,7.37,4.41,defense,defensive_lineman,DE,1
219,2018,20.0,LSU,1.778,101.6046909,4.49,80.01,15.0,,,,offense,backs_receivers,RB,1
220,2011,22.0,Michigan St.,1.8288,88.45051215,4.54,,10.0,,,,defense,defensive_back,CB,1
221,2012,22.0,California,1.9558,144.2423737,5.38,67.31,23.0,226.06,7.86,4.87,offense,offensive_lineman,OT,1
222,2009,23.0,California,1.9304,141.0672271,5.17,,,,,,offense,offensive_lineman,C,1
223,2018,23.0,Iowa,1.905,138.7992652,5.43,63.5,20.0,261.62,7.9,4.81,offense,offensive_lineman,C,0
224,2018,25.0,Central Florida,1.905,112.9445001,,,,,,,offense,backs_receivers,TE,1
225,2010,,California,1.8542,92.53284348,4.66,91.44,14.0,284.48,7.35,4.69,offense,backs_receivers,WR,0
226,2017,23.0,Utah,1.9558,140.1600423,,,27.0,,,,offense,offensive_lineman,OT,1
227,2012,21.0,Miami (FL),1.8034,104.7798375,4.66,85.09,12.0,302.26,7.46,4.28,defense,line_backer,OLB,1
228,2013,22.0,West Virginia,1.7272,78.92507238,4.34,81.28,14.0,304.8,,4.01,offense,backs_receivers,WR,1
229,2014,22.0,Tennessee,1.9812,152.4070363,5.3,62.23,36.0,,,,offense,offensive_lineman,OT,0
230,2012,23.0,Midwestern St.,1.9304,141.0672271,5.33,80.01,28.0,271.78,7.95,4.87,offense,offensive_lineman,OG,1
231,2010,21.0,Illinois,1.9304,138.3456729,5.07,,,,,,offense,offensive_lineman,OG,1
